事例,74,基本,じれい,case,実際にあったこと。,過去の事例について話し合います。
現在,68,基本,げんざい,present,今のこと。,現在の状態を確認します。
目的,54,基本,もくてき,purpose,何をしたいかというゴールやねらいのこと。,ケアの目的を説明します。
共同,54,基本,きょうどう,collaboration,他の人と一緒に何かをすること。,家族と共同で支援します。
原因,52,基本,げんいん,cause,どうしてそうなったかという理由のこと。,転倒の原因を調べます。
自己,46,基本,じこ,self,自分自身のこと。,利用者の自己決定を大事にします。
過程,46,基本,かてい,process,はじめから終わりまでのステップや流れのこと。,支援の過程を記録します。
法律,45,社会,ほうりつ,law,国が決めた守らなければならないルールのこと。,法律に基づいて支援します。
治療,43,医療,ちりょう,treatment,病気やけがを治すこと。,病院で治療を受けます。
会議,41,基本,かいぎ,meeting,関係する人が集まって話し合うこと。,チーム会議を開きます。
続ける,37,基本,つづける,continue,やめないでずっとやること。,リハビリを続けます。
区分,34,基本,くぶん,category,いくつかに分けること。,利用者の介護区分を確かめます。
含む,33,基本,ふくむ,include,中に入っていること。,食事には野菜も含みます。
回復,33,医療,かいふく,recovery,悪い状態から元の良い状態に戻ること。,体力が回復します。
技術,32,介護,ぎじゅつ,skill,やり方やテクニックのこと。,介護の技術を学びます。
可能,29,基本,かのう,possible,できること。,一人で歩くことが可能です。
繰り返す,29,基本,くりかえす,repeat,同じことをや強さのこと。,痛みの程度を聞きます。
対策,23,基本,たいさく,measure,悪いことが起き何度もやること。,同じ動作を繰り返します。
最初,29,基本,さいしょ,first,一番はじめのこと。,最初に血圧を測ります。
感情,28,基本,かんじょう,emotion,嬉しいや悲しいなどの心のこと。,利用者の感情に寄り添います。
交換,28,基本,こうかん,exchange,古いものを新しいものに変えること。,おむつを交換します。
取り組む,28,基本,とりくむ,tackle,がんばってやること。,新しい問題に取り組みます。
増加,27,基本,ぞうか,increase,数や量が多くなること。,体重が増加します。
分類,27,基本,ぶんるい,classification,種類ごとに分けること。,ゴミを分類します。
作業,26,介護,さぎょう,work,体や手を使ってする仕事のこと。,手芸の作業をします。
欲求,26,基本,よっきゅう,desire,何かをしたいと思う気持ちのこと。,食べたいという欲求を支えます。
基本,25,基本,きほん,basic,いちばん大事なものや考えのこと。,基本のルールを守ります。
個人,25,基本,こじん,individual,グループではなく一人ひとりのこと。,個人情報を守ります。
周囲,25,基本,しゅうい,surroundings,まわりの人や物のこと。,周囲の安全を確認します。
応じる,25,基本,おうじる,respond,相手の希望や状態に合わせること。,利用者の希望に応じます。
個別,24,基本,こべつ,individual,一人ひとり別々にすること。,個別の計画を作ります。
以前,24,基本,いぜん,before,今よりも前のこと。,以前の状態と比べます。
程度,23,基本,ていど,level,どのくらいかという量ないように準備すること。,転ばないための対策を考えます。
以外,23,基本,いがい,except,それを含めないでほかのもののこと。,食事以外の時間を記録します。
保持,23,基本,ほじ,maintenance,今のままの状態を続けること。,座る姿勢を保持します。
用意,23,基本,ようい,preparation,必要なものを準備すること。,着替えの服を用意します。
安定,22,基本,あんてい,stability,変わらないで落ち着いていること。,血圧が安定しています。
関わる,22,基本,かかわる,relate,関係を持つこと。,多くの人がケアに関わります。
業務,22,基本,ぎょうむ,duty,毎日行う仕事のこと。,介護の業務を安全に行います。
開始,21,基本,かいし,start,始めること。,食事の介助を開始します。
社会的,19,社会,しゃかいてき,social,社会の中での立場や関係のこと。,社会的なつながりを大切にします。
取得,15,基本,しゅとく,acquisition,資格や権利を自分のものにすること。,介護の資格を取得します。
解釈,15,基本,かいしゃく,interpretation,言葉や物事の意味を考えて理解すること。,利用者の言葉の意味を解釈します。
平均,14,基本,へいきん,average,全部を足して全体の数で割った数字のこと。,一日の平均の水分量を計算します。
効果,14,基本,こうか,effect,何かをした後に現れる良い結果のこと。,リハビリの効果を確認します。
紹介,14,基本,しょうかい,referral,知らない人やものを他の人に教えること。,家族に新しいサービスを紹介します。
整理,14,基本,せいり,organization,いらないものを捨ててきれいに片付けること。,部屋の荷物を整理します。
困窮,13,社会,こんきゅう,poverty,お金や生活にとても困ること。,困窮している人を支援します。
感染,13,医療,かんせん,infection,ウイルスなどの病気がうつること。,手を洗って感染を防ぎます。
経験,13,基本,けいけん,experience,自分で実際にやったり見たりしたこと。,今までの経験を仕事に生かします。
主体,13,基本,しゅたい,independence,自分で考えて行動する中心になること。,利用者が主体となって生活します。
集団,13,基本,しゅうだん,group,たくさんの人が集まったもののこと。,集団でのレクリエーションに参加します。
復帰,13,社会,ふっき,return,元の場所や状態に戻ること。,家での生活に復帰できるように支援します。
運営,12,社会,うんえい,management,組織や施設をまとめて動かすこと。,施設の運営について話し合います。
深い,12,基本,ふかい,deep,表面からずっと下や奥にあること、または程度が強いこと。,利用者と深い関係を築きます。
出来事,12,基本,できごと,event,社会や毎日の生活の中で起きたこと。,施設で今日あった出来事を家族に伝えます。
自覚,12,基本,じかく,awareness,自分の状態や立場を自分でよくわかること。,プロとしての自覚を持ちます。
性格,12,基本,せいかく,personality,その人が持っている心や考え方の特徴のこと。,利用者の性格に合わせたケアをします。
気づく,12,基本,きづく,notice,見たり聞いたりして、何かがわかったり感じたりすること。,利用者の顔色が悪いことに気づきました。
保存,12,基本,ほぞん,preservation,そのままの状態でとっておくこと。,古い記録をパソコンに保存します。
以下,12,基本,いか,below,その数や程度よりも下であること。,血圧が100以下になっています。
移行,12,基本,いこう,transition,別の状態や段階へ移ること。,新しいサービスへ移行します。
雇用,11,社会,こよう,employment,人を雇って仕事をしてもらうこと。,障害のある人の雇用を支援します。
有効,11,基本,ゆうこう,effective,役に立つことや、効果があること。,新しいリハビリの方法はとても有効です。
種類,11,基本,しゅるい,type,性質が同じものを分けたグループのこと。,薬の種類を確認します。
訴え,11,介護,うったえ,complaint,痛いところや困っていることを人に強く伝えること。,利用者の痛みの訴えを聞きます。
構成,11,基本,こうせい,composition,いくつかのものを集めて一つのものを作ること。,家族の構成を確認します。
